code,name
AAH,Aachen
AAL,Aalborg
AAQ,Anapa
AAR,Århus
ABA,Abakan
ABE,Allentown-Bethlehem-Easton
ABI,Abilene
ABQ,Albuquerque
ABR,Aberdeen
ABS,Abu Simbel
ABT,Abha
ABZ,Aberdeen
ACA,Acapulco/Alvarez
ACE,Lanzarote
ACH,Altenrhein
ACI,Alderney
ACO,Ascona
ACT,Waco
ACV,Arcata
ACY,Atlantic City
ADA,Adana
ADB,Izmir
ADD,Addis Abeba
ADH,Aldan
ADW,Camp Springs/Andrews
AER,Sochi
AES,Ålesund
AEY,Akureyri
AFW,Fort Worth Alliance
AFY,Afyon
AGA,Agadir
AGB,Augsburg
AGC,Pittsburgh/Allegheny
AGE,Wangerooge
AGF,Agen/La Garenne
AGH,Angelholm Helsingborg
AGP,Malaga
AGQ,Agrinion
AGR,Agra/Kheria
AGS,Augusta/Budh Field
AHN,Athens
AHO,Alghero
AHU,Al Hoceima
AJA,Ajaccio
AJR,Arvidsjaur
AKT,Akrotiri
AKU,Aksu
AKX,Aktyubinsk
ALA,Almaty
ALC,Alicante
ALF,Alta
ALI,Alice
ALJ,Alexander Bay
ALL,Albenga
ALN,Alton
ALO,Waterloo
ALW,Walla Walla
ALY,Alexandria
AMA,Amarillo
AMM,Amman
AMS,Amsterdam
ANB,Anniston
ANC,Anchorage
AND,Anderson
ANE,Angers-Avrille
ANG,Angouleme Brie-Champniers
ANK,Ankara Etimesgut
ANR,Antwerpen
ANX,Andenes
AOC,Altenburg
AOI,Ancona
AOK,Karpathos
AOO,Altoona
AOR,Alor Setar
APF,Naples US
APG,Aberdeen/Phillips
APN,Alpena
AQJ,Aqaba
ARH,Arkhangelsk
ARN,Stockholm
ART,Watertown (NY)
ARW,Arad
ASE,Aspen
ASF,Astrakhan
ASM,Asmara
ASR,Kayseri
ASW,Aswan
ATH,Athen
ATL,Atlanta/William
ATQ,Amritsar
ATY,Watertown (SD)
AUA,Aruba
AUF,Auxerre/Moneteau
AUH,Abu Dhabi
AUR,Aurillac
AUS,Austin/Robert M
AVB,Aviano
AVL,Asheville
AVN,Avignon-Caumont
AVP,Scranton
AXD,Alexandroupolis
AXP,Spring Point
AYK,Arkalyk
AYT,Antalya
AZN,Andizhan
AZO,Kalamazoo
AZS,El Catey
BAE,Barcelonnette-Saint-Pons
BAF,Westfield/Barnes
BAH,Bahrain
BAL,Batman
BAY,Baia Mare
BBH,Barth
BBP,Bembridge
BBS,Blackbushe
BCM,Bacau
BCN,Barcelona
BCS,Belle Chasse
BCT,Boca Raton
BDA,Bermuda
BDE,Baudette
BDM,Balikesir Bandirma
BDR,Bridgeport/Igor I.
BDS,Brindisi
BDU,Bardufoss
BEB,Benbecula
BED,Bedford
BEG,Beograd
BER,Berlin
BES,Brest
BEV,Beer-Sheba
BEX,Benson
BEY,Beirut
BFD,Bradford
BFE,Bielefeld
BFF,Scottsbluff
BFI,Seattle Boeing Field
BFL,Bakersfield
BFS,Belfast International
BFT,Beaufort
BGC,Braganca
BGF,Bangui
BGI,Barbados
BGM,Binghamton
BGO,Bergen
BGR,Bangor
BGY,Milano Bergamo
BGZ,Braga
BHD,Belfast City
BHH,Arar
BHK,Bukhara
BHM,Birmingham US
BHX,Birmingham
BHZ,Belo Horizonte Tancredo N
BIA,Bastia
BIF,El Paso Biggs AAF
BIL,Billings
BIM,Alice Town
BIO,Bilbao
BIQ,Biarritz
BIS,Bismarck
BIX,Biloxi/Keesler
BJD,Bakkafjordur
BJF,Båtsfjord
BJL,Banjul/Yundum
BJS,Beijing City
BJV,Bodrum/Milas
BJZ,Badajoz
BKE,Baker
BKK,Bangkok
BKL,Cleveland Burke Lakefront
BKW,Beckley
BLE,Borlange
BLI,Bellingham
BLK,Blackpool
BLL,Billund
BLO,Blonduos
BLQ,Bologna
BLV,Belleville
BLX,Belluno
BLY,Belmullet
BMA,Stockholm Bromma
BMG,Bloomington
BMR,Baltrum
BNA,Nashville
BNN,Brønnøysund
BOB,Bora Bora
BOD,Bordeaux
BOF,Washington Bolling
BOH,Bournemouth
BOI,Boise
BOJ,Burgas
BOL,Ballykelly
BOM,Mumbai
BOO,Bodø
BOR,Belfort/Chaux
BOS,Boston Logan Intl
BOU,Bourges
BPT,Beaumont
BQH,Biggin Hill
BQK,Brunswick Glynco J
BRE,Bremen
BRG,Kentucky
BRI,Bari
BRL,Burlington
BRN,Bern-Belp
BRO,Brownsville/South Pa
BRQ,Brno
BRR,Barra
BRS,Bristol
BRU,Brussel
BRV,Bremerhaven
BSB,Brasilia
BSL,Basel/Mulhouse/Freiburg
BSM,Austin
BSR,Basrah
BTL,Battle Creek
BTM,Butte
BTR,Baton Rouge
BTS,Bratislava
BTV,Burlington
BTZ,Bursa
BUD,Budapest
BUF,Buffalo/Greater
BUH,Bucuresti Baneasa
BUR,Burbank
BVA,Paris Beauvais
BVB,Boa Vista
BVC,Boa Vista
BVE,Brive La Gaillarde
BVG,Berlevåg
BVY,Beverly
BWE,Braunschweig
BWF,Barrow/Walney Island
BWG,Bowling Green/Warren C
BWI,Baltimore Washington Intl
BWK,Brac
BYH,Blytheville
BYI,Burley
BYR,Laeso
BYS,Fort Irwin/Bicycle
BYT,Bantry
BYU,Bayreuth
BZG,Bydgoszcz
BZI,Balikesir Edremit-Korfez
BZO,Bolzano
BZR,Beziers-Vias
BZZ,Brize Norton
CAE,Colimbia Metropolitan
CAG,Cagliari
CAI,Kairo
CAL,Campbeltown
CAR,Caribou
CAS,Casablanca Anfa
CAX,Carlisle
CBG,Cambridge
CBP,Coimbra
CBU,Cottbus
CCF,Carcassonne
CCU,Kolkata
CCZ,"Chub Cay, Berry I."
CDC,Cedar City
CDF,Cortina
CDG,Paris Charles de Gaulle
CDN,Camden
CEC,Crescent City/Mc Namar
CEF,Springfield Westover
CEI,Chiang Rai
CEL,"Cape Eleuthera, Eleuthera I."
CEQ,Cannes Mandelieu
CER,Cherbourg
CET,Cholet-Le Pontreau
CEW,Crestview/Bob Sike
CFE,Clermont-Ferrand
CFN,Donegal
CFR,Caen
CFU,Korfu
CGF,Cleveland Cuyahoga
CGH,Sao Paulo Congonhas
CGI,Cape Girardeau
CGN,Køln Bonn
CGX,Chicago Merrill
CHA,Chattanooga
CHC,Christchurch
CHD,Chandler/Williams
CHO,Charlottesville
CHQ,Chania
CHR,Chateauroux/Villers
CHS,Charleston
CHV,Chaves
CIA,Roma Ciampino
CID,Cedar Rapids
CIH,Changzhi
CIU,Sault Ste Marie
CJS,Ciudad Juarez
CKB,Clarksburg
CKZ,Canakkale
CLB,Castlebar
CLE,Cleveland Hopkins
CLL,College Station
CLM,Port Angeles/Fairchild
CLT,Charlotte
CLY,Calvi
CMF,Chambery
CMH,Columbus Port Columbus Intl
CMI,Champaign/Willard
CMN,Casablanca Mohamed V
CMR,Colmar/Houssen
CND,Constanta
CNG,Cognac/Chateau Bernard
CNM,Carlsbad
CNP,Nerlerit Inaat/Constable Pynt
CNX,Chiang Mai
COF,Cocoa
COH,Cooch-Behar
COP,COSL Pioneer
COS,Colorado Springs
COU,Colimbia Regional
COV,Covilha
COX,"Congo Town, Andros I."
CPH,København
CPT,Cape Town
CQF,Calais/Dunkerque
CQM,Ciudad Real Airport
CRA,Craiova
CRI,Pittsdown Crooked Island
CRL,Brussel Sør/Charleroi
CRP,Corpus Christi International
CRV,Crotone
CRW,Charleston
CRZ,Chardzhou
CSB,Caransebes
CSF,Creil
CSG,Columbus Metropolitan
CTA,Catania
CTB,Cut Bank
CTT,Le Castellet
CUF,Cuneo/Levaldigi
CUN,Cancun
CVF,Courchevel
CVO,Corvallis
CVS,Clovis
CVT,Coventry
CVU,Corvo
CWL,Cardiff
CXL,Calexico
CXO,Conroe Montgomery
CYS,Cheyenne
CZW,Czesochowa/Ridniki
DAA,Fort Belvoir
DAB,Daytona Beach
DAL,Dallas Love Field
DAM,Damaskus
DAN,Danville
DAY,Dayton James Cox International
DBQ,Dubuque
DBV,Dubrovnik
DCA,Washington Dc National
DCI,Decimomannu
DCM,Castres
DCT,"Duncan Town,Ragged I."
DDC,Dodge City
DEB,Debrecen
DEC,Decatur
DEL,New Delhi
DEN,Denver
DET,Detroit City
DFW,Dallas Fort Worth
DGP,Daugavpils
DHN,Dothan
DHR,Den Helder/De Kooy
DIA,Doha Airport
DIJ,Dijon
DIY,Diyarbakir
DJE,Djerba
DJU,Djupivogur
DLD,Geilo
DLE,Dole/Tavaux
DLH,Duluth
DLM,Dalaman
DMA,Tucson Davis Monthan AFB
DME,Moskva Domodedovo
DMM,Dammam
DMN,Deming
DND,Dundee
DNK,Dnepropetrovsk
DNR,Dinard
DNZ,Denizli/Cardak
DOH,Doha
DOL,Deauville
DOV,Dover-Cheswold
DPE,Dieppe/Saint-Aubin
DPN,Nordpolen
DRI,De Ridder/Beaurega
DRS,Dresden
DSE,Dessie
DSM,Des Moines
DTM,Dortmund
DUB,Dublin
DUJ,Dubois/Jefferson
DUR,Durban
DUS,Dusseldorf
DWC,Dubai World Central
DXB,Dubai
EAS,San Sebastian
EAU,Eau Claire
EBJ,Esbjerg
EBL,Erbil
EBM,El Borma
EBU,Saint Etienne
ECG,Elizabeth City
EDI,Edinburgh
EDW,Edwards AFB
EEN,Keene/Dillant
EFL,Kefallinia
EGC,Bergerac
EGS,Egilsstadir
EIB,Eisenach
EIN,Eindhoven
EIY,Eyn-Yahav Airstrip
EJH,Wadi Ad Dawasir
EKA,Eureka Murray Field
EKN,Elkins
EKO,Elko
EKT,Eskilstuna
ELD,El Dorado/Goodwin
ELH,North Eleuthera
ELM,Elmira
ELP,El Paso
ELQ,Dhahran
EMA,Nottingham/East Midland
EME,Emden
ENC,Nancy-Essey
END,Enid/Vance AF
ENF,Enontekio
ENK,Enniskillen/St.Angelo
ENS,Enschede
ENW,Kenosha
EPK,Episkopi
EPL,Epinal-Mirecourt
EQI,Eday
ERC,Erzincan
ERF,Erfurt
ERH,Errachidia/Mouay Ali Cherif
ERI,Erie
ERZ,Erzurum
ESB,Ankara Esenboga
ESH,Shoreham
ESK,Eskisehir/Anadolu
ESS,Essen
ETH,Eilat/J. Hozman Airport
ETM,Eilat-Ramon
ETZ,Metz/Nancy
EUG,Eugene
EVE,Harstad/Narvik
EVG,Sveg
EVN,Jerevan
EVV,Evansville/Dress Re
